QC,TI,Re_d,PGrad,TurbTime,PStress,UMisalign,ConvTKE,TauRatio,Curvature,SQUARED_DUCT_RSTRESS,PERIODIC_HILL_RSTRESS
-0.000262732,0.0245485,0.21069,-0.498779,0.874268,0.527073,0.00115746,-0.0442066,0.538961,0.0317157,0.129524,-0.686016
-0.000184118,0.0225597,0.158061,-0.499473,0.883242,0.521033,0.00122927,-0.0566782,0.537847,0.0422121,0.132435,-0.723032
-0.00013079,0.0199805,0.113502,-0.499836,0.887321,0.539062,0.00121404,-0.0716308,0.537009,0.0513857,0.128191,-0.758026
-9.34E-05,0.0172853,0.0784103,-0.499975,0.886563,0.576747,0.00114205,-0.0865429,0.536516,0.0588911,0.117441,-0.785282
-6.63E-05,0.014786,0.052252,-0.499999,0.881212,0.628955,0.00103608,-0.0984517,0.536257,0.0649925,0.100857,-0.804443
-4.62E-05,0.0125982,0.0334911,-0.499996,0.870524,0.690913,0.000909453,-0.106297,0.536117,0.0700121,0.078894,-0.818102
-3.13E-05,0.0107292,0.0204551,-0.499938,0.852687,0.757978,0.000772501,-0.110624,0.536033,0.074318,0.053206,-0.828611
-2.03E-05,0.00914557,0.0116948,-0.49993,0.826163,0.824927,0.000632104,-0.11146,0.535981,0.0782484,0.022312,-0.83708
-1.23E-05,0.00778951,0.00605146,-0.499912,0.786569,0.886393,0.000493324,-0.109656,0.535946,0.0822985,-0.020525,-0.844436
-6.77E-06,0.00657138,0.00264042,-0.499901,0.722261,0.937351,0.000358775,-0.106273,0.535922,0.0872911,-0.089341,-0.851316
0.0201346,0.425081,0.0692736,0.492184,0.820392,0.293136,0.00177196,0.658333,0.536256,0.679384,-0.280433,-0.802774
0.0231011,0.372486,0.111274,0.481944,0.842825,0.227829,0.00239341,0.48844,0.537194,0.639721,-0.305844,-0.744649
0.0279969,0.334606,0.165374,0.465992,0.84395,0.206608,0.00962611,0.365579,0.539166,0.644782,-0.327503,-0.671834
0.0349656,0.304944,0.228547,0.446864,0.830646,0.215328,0.021036,0.3043,0.5413,0.672239,-0.349418,-0.610677
0.0433974,0.280973,0.298368,0.428077,0.81024,0.245382,0.0372789,0.277898,0.542875,0.695188,-0.37244,-0.564737
0.0519504,0.261904,0.374133,0.411862,0.787103,0.292937,0.0589247,0.27051,0.543919,0.709303,-0.394612,-0.526797
0.058194,0.247021,0.456234,0.399174,0.763652,0.355381,0.0860813,0.276101,0.544564,0.7166,-0.373145,-0.492042
0.0585452,0.235475,0.545651,0.390223,0.742016,0.428905,0.117703,0.290831,0.544953,0.718915,-0.321129,-0.456991
0.049328,0.226451,0.643623,0.384655,0.72405,0.509208,0.151782,0.310521,0.545241,0.717562,-0.268726,-0.418544
0.028271,0.219282,0.751492,0.381753,0.710873,0.593095,0.186128,0.330863,0.545567,0.713508,-0.217311,-0.374996
-0.00467854,0.213472,0.870642,0.380731,0.702699,0.678961,0.218959,0.348438,0.546018,0.70742,-0.169571,-0.326565
-0.047518,0.208659,1.00249,0.380947,0.698994,0.766427,0.249131,0.361371,0.546628,0.699746,-0.128665,-0.274584
-0.096964,0.204582,1.14853,0.381953,0.698806,0.85586,0.276096,0.36921,0.547399,0.690773,-0.099224,-0.221185
-0.149415,0.201049,1.3103,0.383451,0.701125,0.947926,0.299691,0.372285,0.54831,0.680678,-0.085049,-0.169624
-0.201567,0.197916,1.48945,0.385242,0.705124,0.960277,0.319903,0.371275,0.54933,0.669533,-0.090484,-0.123101
-0.250867,0.195063,1.68771,0.38719,0.710064,0.889121,0.336994,0.367005,0.550427,0.657397,-0.118439,-0.085051
-0.295542,0.192407,1.90693,0.389192,0.715434,0.834796,0.351244,0.360091,0.551565,0.644296,-0.170668,-0.05884
-0.334495,0.189867,2,0.391169,0.720867,0.791804,0.362946,0.351022,0.552712,0.630222,-0.122157,-0.046108
-0.367324,0.187385,2,0.393045,0.726091,0.756724,0.372474,0.340198,0.55384,0.6152,-0.045296,-0.046781
-0.393777,0.184908,2,0.394764,0.730974,0.727546,0.380038,0.32786,0.554918,0.599196,0.02518,-0.057556
-0.414078,0.182392,2,0.396269,0.735375,0.70274,0.385973,0.314126,0.555923,0.582237,0.084786,-0.074894
-0.428467,0.179803,2,0.397502,0.739221,0.681311,0.390521,0.299037,0.556834,0.56434,0.129655,-0.094617
-0.437093,0.177109,2,0.39841,0.742477,0.662618,0.393824,0.28254,0.557626,0.545499,0.155989,-0.111996
-0.440339,0.174285,2,0.398935,0.745091,0.646063,0.39611,0.264536,0.558283,0.525773,0.163395,-0.125383
-0.4384,0.171312,2,0.39902,0.747026,0.631268,0.397519,0.244777,0.558788,0.505215,0.147229,-0.132909
-0.431294,0.168174,2,0.398602,0.748248,0.617979,0.398132,0.222938,0.559122,0.483875,0.105801,-0.134035
-0.419257,0.164861,2,0.397613,0.748698,0.605929,0.398106,0.198503,0.559273,0.461866,0.040202,-0.127722
-0.402149,0.161366,2,0.395982,0.748331,0.595011,0.397463,0.170701,0.559224,0.439274,-0.041659,-0.111884
-0.379929,0.157682,2,0.393628,0.747064,0.585113,0.396282,0.138454,0.558963,0.416233,-0.123323,-0.08444
-0.352519,0.153811,2,0.390459,0.744797,0.576183,0.39462,0.100113,0.558481,0.392889,-0.185277,-0.045732
-0.319538,0.149753,2,0.386375,0.741419,0.568282,0.392429,0.0531034,0.557769,0.369364,-0.143458,0.000392
-0.28076,0.145509,2,0.381262,0.73678,0.561455,0.389717,-0.00673163,0.556827,0.34583,-0.08001,0.049083
-0.235738,0.141082,2,0.374994,0.730703,0.555862,0.38639,-0.0740223,0.555659,0.322425,-0.049164,0.092534
-0.183913,0.136474,2,0.36743,0.72297,0.551736,0.382291,-0.1431,0.554275,0.299272,-0.050166,0.120034
-0.124979,0.131685,2,0.358415,0.71332,0.549307,0.377291,-0.214293,0.552703,0.276525,-0.076305,0.127427
-0.0584789,0.126712,2,0.347777,0.701466,0.548903,0.371127,-0.287623,0.550979,0.254305,-0.041956,0.118371
0.0159403,0.121551,2,0.335328,0.687047,0.550942,0.363435,-0.362585,0.549148,0.232695,0.001601,0.098649
0.0983242,0.116194,2,0.320863,0.669711,0.555854,0.353734,-0.437914,0.547269,0.211786,0.035053,0.071199
0.187865,0.110628,2,0.304148,0.649098,0.564017,0.341543,-0.511703,0.545413,0.191675,0.056356,0.036692
0.282827,0.104841,2,0.284928,0.624903,0.5758,0.32633,-0.581385,0.543653,0.17244,0.066713,-0.003569
0.380372,0.0988199,2,0.262888,0.597018,0.591553,0.307464,-0.644133,0.54205,0.154128,0.065692,-0.049626
0.475659,0.0925565,2,0.237669,0.565794,0.611329,0.28468,-0.696528,0.540667,0.13681,0.060352,-0.093957
0.562689,0.086049,2,0.208943,0.532353,0.634801,0.258021,-0.734499,0.539547,0.120518,0.056723,-0.13304
0.6364,0.0793066,2,0.176247,0.498305,0.661169,0.228149,-0.750631,0.538761,0.105269,0.054255,-0.168337
0.688511,0.0723551,2,0.13769,0.46834,0.69247,0.195862,-0.736534,0.538108,0.0910527,0.053335,-0.192673
0.727064,0.0656777,2,0.098743,0.438819,0.731645,0.16344,-0.693918,0.537623,0.0784916,0.05132,-0.208919
0.74904,0.0598732,2,0.0606448,0.413631,0.768129,0.134702,-0.607158,0.537444,0.0679801,0.053777,-0.213732
0.755724,0.0548573,2,0.0212863,0.396525,0.800666,0.109359,-0.370803,0.537166,0.0596207,0.058896,-0.208033
0.759439,0.0505033,2,-0.0183031,0.379456,0.832567,0.087885,0.413033,0.537007,0.0528515,0.055928,-0.201831
0.76421,0.0467145,2,-0.0537147,0.35955,0.863969,0.0693485,0.701345,0.536846,0.0472483,0.050238,-0.194798
0.773661,0.0434105,2,-0.084901,0.334346,0.895264,0.0527394,0.821053,0.53667,0.0425308,0.04483,-0.185871
0.790873,0.0405234,2,-0.112689,0.301787,0.926938,0.0370901,0.888956,0.536488,0.0385051,0.037413,-0.179071
0.8183,0.0379939,2,-0.137541,0.260402,0.95967,0.0211151,0.933118,0.536315,0.0350302,0.028159,-0.173514
0.859653,0.0357715,2,-0.160057,0.207538,0.993772,0.0032083,0.963096,0.536168,0.032003,0.015391,-0.170658
0.916934,0.0338129,2,-0.180625,0.140402,0.971883,0.0193886,0.982167,0.536061,0.0293457,-0.000399,-0.174674
0.975845,0.032081,2,-0.199513,0.0633026,0.939336,0.0530221,0.991243,0.536008,0.0270005,-0.018391,-0.187197
0.93012,0.0305446,2,-0.217242,0.0762576,0.908293,0.121802,0.9898,0.536024,0.0249227,-0.033649,-0.191477
0.263681,0.0291772,2,-0.233757,0.162521,0.879048,0.397698,0.976203,0.536128,0.0230753,-0.047642,-0.190086
-0.891992,0.0279569,2,-0.249313,0.239875,0.85021,0.229833,0.950028,0.536317,0.0214355,-0.062907,-0.195108
-0.897415,0.026865,2,-0.264279,0.306407,0.821829,0.12621,0.909627,0.536603,0.0199816,-0.078408,-0.204869
-0.616228,0.0258864,2,-0.27867,0.36281,0.793515,0.0889747,0.85486,0.536982,0.0187005,-0.093182,-0.21684
-0.416365,0.0250084,2,-0.292815,0.410638,0.764758,0.0692382,0.786811,0.537445,0.017585,-0.106948,-0.229623
-0.288208,0.0242203,2,-0.306329,0.451839,0.735849,0.0564888,0.706262,0.537993,0.0166287,-0.119335,-0.242651
-0.204662,0.0235146,2,-0.319314,0.48707,0.706927,0.0474403,0.61713,0.538607,0.015829,-0.129452,-0.255798
-0.147952,0.0228841,2,-0.332276,0.517629,0.677539,0.0405221,0.523252,0.539276,0.0151865,-0.137697,-0.269133
-0.108284,0.0223239,2,-0.344859,0.544274,0.648277,0.0349759,0.429415,0.539983,0.0147022,-0.144493,-0.282964
-0.0798815,0.0218308,2,-0.356786,0.567631,0.619691,0.0303825,0.340296,0.540703,0.0143778,-0.149747,-0.297636
-0.0590663,0.021403,1.82309,-0.368649,0.588646,0.592313,0.0263478,0.259169,0.541432,0.0141928,-0.153124,-0.313506
-0.0436193,0.02104,1.63656,-0.380394,0.607845,0.566676,0.0227362,0.189239,0.542146,0.014134,-0.154004,-0.330832
-0.0320525,0.0207438,1.46877,-0.390556,0.625742,0.545347,0.0194283,0.132218,0.542824,0.0141697,-0.152093,-0.349487
-0.0233151,0.0205184,1.31775,-0.401415,0.643127,0.527358,0.0163302,0.0881798,0.543454,0.0142546,-0.14704,-0.369239
-0.0167092,0.0203717,1.18178,-0.412138,0.660592,0.515619,0.0133921,0.0565576,0.544016,0.0143129,-0.138066,-0.38998
-0.0117407,0.0203155,1.0593,-0.421602,0.678683,0.515012,0.0105949,0.0358308,0.544482,0.0142258,-0.124675,-0.411441
